
Canal,Fecha,categoria,subcategoria,descripcion,marca,precio
Costco,16-04-2024,Lavadoras,Lavadoras,Whirlpool Lavadora 19Kg Top Load,Whirlpool,"$15,999"
Costco,16-04-2024,Microondas,Microondas,Panasonic microondas .9' silver,Panasonic,"$2,799"
Costco,16-04-2024,Microondas,Microondas,"Ninja Foodi, Horno con Freidora de Aire 8 en 1 ",Ninja,"$5,499"
Costco,16-04-2024,Microondas,Microondas,Samsung horno de microondas 1.4' con grill,Samsung,"$3,999"
Costco,16-04-2024,Microondas,Microondas,Panasonic horno de microondas 2.2´,Panasonic,"$7,399"
Costco,16-04-2024,Microondas,Microondas,Samsung microondas 1.1' ,Samsung,"$3,199"
Costco,16-04-2024,Microondas,Microondas,Panasonic Horno de Microondas 1.6' Inverter,Panasonic,"$5,699"
Costco,16-04-2024,Microondas,Microondas,Sur La Table Horno de Microondas 1.2' Inverter,Sur,"$2,199"
Costco,16-04-2024,Microondas,Microondas,Smeg Tostador Dos Rebanadas Varios Colores ,Smeg,"$3,299"
Costco,16-04-2024,Microondas,Microondas,"Pizzarette Grill, Horno para Mini Pizzas, Westinghouse",Pizzarette,$999
Costco,16-04-2024,Microondas,Microondas,"Ninja Foodi, Horno con Freidora de Aire 10 en 1 XL",Ninja,"$5,999"
Costco,16-04-2024,Microondas,Microondas,Samsung horno de microondas + grill 1.0',Samsung,"$3,799"
Costco,16-04-2024,Aires Acondicionados,,"Carrier, Aire Acondicionado Ventana De 12,000 Bus a 110V, Sólo Frío",Carrier,"$7,699"
Costco,16-04-2024,Aires Acondicionados,,"LG Aire Acondicionado ArtCool Inverter, VR182CW, Solo Frío, 220V, 1.5 Toneladas, 18,000 BTU/h, Wifi",LG,"$16,999"
Costco,16-04-2024,Aires Acondicionados,,"LG Aire Acondicionado ArtCool Inverter, VR122CW, Solo Frío, 220V, 1 Tonelada, 12,000 BTU/h, WiFi",LG,"$15,499"
Costco,16-04-2024,Aires Acondicionados,,"LG Aire Acondicionado ArtCool Inverter, VR242CW, Solo Frío, 220V, 2 Toneladas, 22,000 BTU/h, WiFi",LG,"$19,999"
Costco,16-04-2024,Calentadores,,"De'Longhi, Calentador de Aceite Portátil, TRLS0715EL",DeLonghi,"$2,599"
Costco,16-04-2024,Aires Acondicionados,,"LG Aire Acondicionado DualCool Inverter Tipo Ventana WiFi Solo Frío14,000 Btus VW151CE",LG,"$10,999"
Costco,16-04-2024,Estufas-y-Campanas-de-Cocina,,Smeg Estufa de piso de gas con 4 quemadores 30”,Smeg,"$63,899"
Costco,16-04-2024,Estufas-y-Campanas-de-Cocina,,"Whirlpool estufa empotrable de gas con  quemadores 30"" ",Whirlpool,"$19,999"
Costco,16-04-2024,Campanas,Campanas,Smeg Campana de isla 90cm,Smeg,"$24,499"
Costco,16-04-2024,Campanas,Campanas,Smeg Campana de pared 90cm,Smeg,"$14,299"
Costco,16-04-2024,Campanas,Campanas,"KitchenAid Campana de pared de 30"" ",KitchenAid,"$40,999"
Costco,16-04-2024,Lavadoras,Lavadoras,Maytag Secadora de gas 22Kg con Pedestal,Maytag,"$26,999"
Costco,16-04-2024,Lavadoras,Lavadoras,Maytag Lavadora 22Kg con Pedestal,Maytag,"$29,999"
Costco,16-04-2024,Lavadoras,Lavadoras,LG Secadora de gas 25Kg,LG,"$20,999"
Costco,16-04-2024,Lavadoras,Lavadoras,LG Secadora de gas 25 Kg,LG,"$16,999"
Costco,16-04-2024,Lavadoras,Lavadoras,Samsung Lavasecadora 12.5Kg / 7Kg,Samsung,"$19,999"
Costco,16-04-2024,Lavadoras,Lavadoras,Samsung Combo de lavado de gas 24Kg / 24Kg,Samsung,"$37,999"
Costco,16-04-2024,Lavadoras,Lavadoras,Whirlpool Lavadora 21Kg Top Load,Whirlpool,"$16,999"
Costco,16-04-2024,Lavadoras,Lavadoras,Samsung Lavasecadora 22Kg / 13Kg con pedestal,Samsung,"$32,999"
Costco,16-04-2024,Lavadoras,Lavadoras,Samsung Secadora de gas 24Kg,Samsung,"$14,499"
Costco,16-04-2024,Microondas,Microondas,Panasonic horno de microondas 1.3',Panasonic,"$3,499"
Costco,16-04-2024,Microondas,Microondas,Smeg Tostador para 4 Rebanadas Varios Colores,Smeg,"$4,299"
Costco,16-04-2024,Microondas,Microondas,"Hamilton Beach Professional, Horno Digital con Freidora de aire y Sensor de Temperatura",Hamilton,"$2,999"
