Canal,Fecha,categoria,sku,marca,descripcion,precio,link
Costco,07-04-2024,Lavavajillas,677214,Maytag,Maytag Lavavajillas empotrable 14 servicios,"$19,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavavajillas/Maytag-Lavavajillas-empotrable-14-servicios/p/677214
Costco,07-04-2024,Lavavajillas,683950,LG,LG Lavavajillas 14 Servicios Libre de empotre,"$17,499",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavavajillas/LG-Lavavajillas-14-Servicios-Libre-de-empotre/p/683950
Costco,07-04-2024,Lavavajillas,663155,KitchenAid,KitchenAid Lavavajillas 60cm empotrable 13 servicios,"$29,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavavajillas/KitchenAid-Lavavajillas-60cm-empotrable-13-servicios/p/663155
Costco,07-04-2024,Lavavajillas,684611,Lavavajillas,Lavavajillas Smeg 60 cm Acero,"$28,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavavajillas/Lavavajillas-Smeg-60-cm-Acero/p/684611
Costco,07-04-2024,Lavavajillas,684847,Smeg,Smeg Lavavajillas 13 Servicios 60 cm Acero,"$25,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavavajillas/Smeg-Lavavajillas-13-Servicios-60-cm-Acero/p/684847
Costco,07-04-2024,Lavadoras,662455,LG,LG Lavasecadora 16Kg / 8Kg,"$21,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Lavasecadora-16Kg-8Kg/p/662455
Costco,07-04-2024,Lavadoras,522129,Maytag,Maytag Secadora de gas 19Kg,"$15,499",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Maytag-Secadora-de-gas-19Kg/p/522129
Costco,07-04-2024,Lavadoras,674138,LG,LG Lavasecadora 22Kg / 13Kg con pedestal,"$29,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Lavasecadora-22Kg-13Kg-con-pedestal/p/674138
Costco,07-04-2024,Lavadoras,676247,Samsung,Samsung Lavadora 22Kg,"$16,499",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Samsung-Lavadora-22Kg/p/676247
Costco,07-04-2024,Lavadoras,673524,LG,LG Lavadora 22Kg con pedestal carga frontal,"$24,499",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Lavadora-22Kg-con-pedestal-carga-frontal/p/673524
Costco,07-04-2024,Lavadoras,668513,LG,LG Torre de lavado de gas WashTower™ gris 22Kg / 22Kg,"$52,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Torre-de-lavado-de-gas-WashTower-gris-22Kg-22Kg/p/668513
Costco,07-04-2024,Lavadoras,669995,LG,LG Secadora de gas 25 Kg,"$16,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Secadora-de-gas-25-Kg/p/669995
Costco,07-04-2024,Lavadoras,657021,Whirlpool,Whirlpool Secadora eléctrica 23Kg,"$17,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Whirlpool-Secadora-electrica-23Kg/p/657021
Costco,07-04-2024,Lavadoras,660422,Maytag,Maytag Secadora de gas 22Kg con Pedestal,"$26,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Maytag-Secadora-de-gas-22Kg-con-Pedestal/p/660422
Costco,07-04-2024,Campana,679567,Whirlpool,Whirlpool Campana de pared 90cm,"$11,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Estufas-y-Campanas-de-Cocina/Whirlpool-Campana-de-pared-90cm/p/679567
Costco,07-04-2024,,684801,Samsung,Samsung Combo de Campana y Estufa ,"$17,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Estufas-y-Campanas-de-Cocina/Samsung-Combo-de-Campana-y-Estufa/p/684801
Costco,07-04-2024,Campana,656087,KitchenAid,"KitchenAid Campana de pared de 30"" ","$40,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Estufas-y-Campanas-de-Cocina/KitchenAid-Campana-de-pared-de-30/p/656087
Costco,07-04-2024,Microondas,660655,"Samsung,","Samsung, Microondas con grill de 1.4', color plata","$4,299",https://www.costco.com.mx/Electrodomesticos/Electrodomesticos-de-Cocina/Hornos-Electricos-y-Microondas/Samsung-Microondas-con-grill-de-14-color-plata/p/660655
Costco,07-04-2024,Microondas,666553,Pizzarette,"Pizzarette Grill, Horno para Mini Pizzas, Westinghouse",$999,https://www.costco.com.mx/Electrodomesticos/Electrodomesticos-de-Cocina/Hornos-Electricos-y-Microondas/Pizzarette-Grill-Horno-para-Mini-Pizzas-Westinghouse/p/666553
Costco,07-04-2024,Microondas,1385185,Ninja,"Ninja Foodi, Horno con Freidora de Aire 8 en 1 ","$5,499",https://www.costco.com.mx/Electrodomesticos/Electrodomesticos-de-Cocina/Hornos-Electricos-y-Microondas/Ninja-Foodi-Horno-con-Freidora-de-Aire-8-en-1/p/1385185
Costco,07-04-2024,Microondas,672848,"Chefman,","Chefman, Horno Digital + Freidora de Aire de 20L","$4,499",https://www.costco.com.mx/Electrodomesticos/Electrodomesticos-de-Cocina/Hornos-Electricos-y-Microondas/Chefman-Horno-Digital-Freidora-de-Aire-de-20L/p/672848
Costco,07-04-2024,Microondas,651939,Samsung,Samsung microondas 1.1' ,"$3,199",https://www.costco.com.mx/Electrodomesticos/Electrodomesticos-de-Cocina/Hornos-Electricos-y-Microondas/Samsung-microondas-11/p/651939
Costco,07-04-2024,Microondas,652521,Panasonic,Panasonic microondas .9' silver,"$2,799",https://www.costco.com.mx/Electrodomesticos/Electrodomesticos-de-Cocina/Hornos-Electricos-y-Microondas/Panasonic-microondas-9-silver/p/652521
Costco,07-04-2024,Aires Acondicionados,683209,"Carrier,","Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 12,000 BTU, 110V, Gas R32, con Wi-Fi","$11,599",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Minisplit-Enfriamiento-y-Calefaccion-12000-BTU-110V-Gas-R32-con-Wi-Fi/p/683209
Costco,07-04-2024,Aires Acondicionados,677141,LG,"LG Aire Acondicionado ArtCool Inverter, VR182CW, Solo Frío, 220V, 1.5 Toneladas, 18,000 BTU/h, Wifi","$16,999",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/LG-Aire-Acondicionado-ArtCool-Inverter-VR182CW-Solo-Frio-220V-15-Toneladas-18000-BTUh-Wifi/p/677141
Costco,07-04-2024,,677142,LG,"LG Aire Acondicionado ArtCool Inverter, VR182HW, Frío y Calor, 220V,  1.5 Toneladas, 18,000 BTU/h, WiFi","$17,999",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/LG-Aire-Acondicionado-ArtCool-Inverter-VR182HW-Frio-y-Calor-220V-15-Toneladas-18000-BTUh-WiFi/p/677142
Costco,07-04-2024,Aires Acondicionados,682212,Carrier,"Carrier Aire Acondicionado Minisplit, Solo Enfriamiento, 12,000 BTU, 220V, Gas R32, con Wi-Fi","$9,999",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Minisplit-Solo-Enfriamiento-12000-BTU-220V-Gas-R32-con-Wi-Fi/p/682212
Costco,07-04-2024,Aires Acondicionados,682218,"Carrier,","Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 18,000 BTU, 220V, Gas R32, con Wi-Fi","$13,599",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Minisplit-Solo-Enfriamiento-18000-BTU-220V-Gas-R32-con-Wi-Fi/p/682218
Costco,07-04-2024,Aires Acondicionados,683208,"Carrier,","Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 12,000 BTU, 110V, Gas R32, con Wi-Fi","$9,999",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Minisplit-Solo-Enfriamiento-12000-BTU-110V-Gas-R32-con-Wi-Fi/p/683208
Costco,07-04-2024,,677140,LG,"LG Aire Acondicionado ArtCool Inverter, VR122HD, Frío y Calor, 220V, 1 Tonelada, 12,000 BTU/h, WiFi","$15,999",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/LG-Aire-Acondicionado-ArtCool-Inverter-VR122HD-Frio-y-Calor-220V-1-Tonelada-12000-BTUh-WiFi/p/677140
Costco,07-04-2024,,674429,"De'Longhi,","De'Longhi, Calentador de Aceite Portátil, TRLS0715EL","$2,599",https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/DeLonghi-Calentador-de-Aceite-Portatil-TRLS0715EL/p/674429
Costco,07-04-2024,Lavadoras,670277,Samsung,Samsung Lavasecadora 12.5 Kg / 7 Kg,"$19,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Samsung-Lavasecadora-125-Kg-7-Kg/p/670277
