Canal,Fecha,categoria,sku,marca,descripcion,precio
Costco,04-04-2024,,684801,Samsung,Samsung Combo de Campana y Estufa ,"$17,999"
Costco,04-04-2024,,658662,Estufa,"Estufa San-Son 7 equipos en uno, color negro ","$54,999"
Costco,04-04-2024,,659200,Smeg,"Smeg Estufa de gas 48""","$129,699"
Costco,04-04-2024,,659256,Smeg,Smeg Campana de pared 90cm,"$14,299"
Costco,04-04-2024,,508053,Samsung,Samsung horno de microondas + grill 1.0',"$3,799"
Costco,04-04-2024,,651857,"LG,","LG, horno de microondas 1.5', Smart inverter","$3,499"
Costco,04-04-2024,,655707,Microondas,"Microondas Whirlpool de 1.1' con potencia grill, color silver acabado espejo ","$2,999"
Costco,04-04-2024,,682073,"Chefman,","Chefman, Horno Digital + Freidora de Aire de 20L Negro","$2,599"
Costco,04-04-2024,,651939,Samsung,Samsung microondas 1.1' ,"$3,199"
Costco,04-04-2024,,627826,Samsung,Samsung horno de microondas 1.4' con grill,"$3,999"
Costco,04-04-2024,,684614,"Westinghouse,","Westinghouse, Bundle 3 Sartenes Mármol y Parrilla de Inducción","$2,799"
Costco,04-04-2024,,659319,Smeg,Smeg Parrilla eléctrica 80cm,"$18,399"
Costco,04-04-2024,,656847,Smeg,Smeg Horno eléctrico 60cm,"$19,999"
Costco,04-04-2024,,684610,Parrilla,Parrilla Eléctrica Smeg De 90 cm,"$21,499"
Costco,04-04-2024,,658980,Teka,Teka Combo horno eléctrico/gas y parrilla ,"$42,999"
Costco,04-04-2024,,681234,Forno,"Forno Napoli, Horno de Leña  Modelo Barano, Color Negro","$39,999"
Costco,04-04-2024,,682318,"Carrier,","Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 18,000 BTU, 220V, Gas R32, con Wi-Fi","$14,999"
Costco,04-04-2024,,669602,"Carrier,","Carrier, Aire Acondicionado, Minisplit Inverter con Wi-Fi, solo enfriamiento, 18,000 BTU, 19 SEER, 220V","$14,999"
Costco,04-04-2024,,682324,"Carrier,","Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 24,000 BTU, 220V, Gas R32, con Wi-Fi","$18,999"
Costco,04-04-2024,,676414,LG,"LG Aire Acondicionado Portátil Inverter, LP1419IVSM, Solo Frío, 115V, 1 Tonelada, 14,000 BTU/h, WiFi","$12,499"
Costco,04-04-2024,,677139,LG,"LG Aire Acondicionado ArtCool Inverter, VR122CW, Solo Frío, 220V, 1 Tonelada, 12,000 BTU/h, WiFi","$15,499"
Costco,04-04-2024,,659795,Teka,"Teka Estufa de piso de gas con 6 quemadores 30""","$15,999"
Costco,04-04-2024,,656087,KitchenAid,"KitchenAid Campana de pared de 30"" ","$40,999"
Costco,04-04-2024,,658578,KitchenAid,KitchenAid Microcampana 1.9',"$27,999"
Costco,04-04-2024,,658580,KitchenAid,"KitchenAid Estufa eléctrica con 5 quemadores 30""","$79,999"
