Canal,Fecha,categoria,subcategoria,sku,marca,descripcion,precio
Costco,21-04-2024,Lavadoras,Lavadoras,660422,Maytag,Maytag Secadora de gas 22Kg con Pedestal,"$26,999"
Costco,21-04-2024,Aires Acondicionados,,683209,Carrier,"Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 12,000 BTU, 110V, Gas R32, con Wi-Fi","$11,599"
Costco,21-04-2024,Lavavajillas,Lavavajillas,677218,Whirlpool,Whirlpool Lavavajillas 60cm 15 servicios,"$22,999"
Costco,21-04-2024,Estufas-y-Campanas-de-Cocina,,653094,Whirlpool,"Whirlpool estufa empotrable de gas con  quemadores 30"" ","$19,999"
Costco,21-04-2024,Refrigeradores,Refrigeradores,671584,Smeg,Smeg Refrigerador 22' French Door,"$56,999"
Costco,21-04-2024,Hornos-y-Parrillas,,640391,KitchenAid,KitchenAid Horno 30´ ,"$69,999"
Costco,21-04-2024,Hornos-Electricos-y-Microondas,,675196,Sur,Sur La Table Horno de Microondas 1.2' Inverter,"$2,199"
Costco,21-04-2024,Hornos-Electricos-y-Microondas,,666553,Pizzarette,"Pizzarette Grill, Horno para Mini Pizzas, Westinghouse",$999
Costco,21-04-2024,Hornos-Electricos-y-Microondas,,527922,Panasonic,Panasonic horno de microondas 2.2´,"$7,399"
Costco,21-04-2024,Hornos-Electricos-y-Microondas,,678803,Hamilton,"Hamilton Beach Professional, Horno Digital con Freidora de aire y Sensor de Temperatura","$2,999"
Costco,21-04-2024,Lavadoras,Lavadoras,660426,Maytag,Maytag Lavadora 22Kg con Pedestal,"$29,999"
Costco,21-04-2024,Lavadoras,Lavadoras,522129,Maytag,Maytag Secadora de gas 19Kg,"$15,499"
Costco,21-04-2024,Aires Acondicionados,,683208,Carrier,"Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 12,000 BTU, 110V, Gas R32, con Wi-Fi","$9,999"
Costco,21-04-2024,https:,,,,,
Costco,21-04-2024,Campanas,Campanas,659233,Smeg,Smeg Campana de isla 90cm,"$24,499"
Costco,21-04-2024,Refrigeradores,Refrigeradores,681751,Samsung,Samsung Refrigerador de 32´ French Door con Centro de Bebidas ,"$34,999"
Costco,21-04-2024,c,,678651,Bertazzoni,"Bertazzoni Horno de Convección 30""","$89,999"
Costco,21-04-2024,Hornos-Electricos-y-Microondas,,640700,Panasonic,Panasonic horno de microondas 1.3',"$3,499"
Costco,21-04-2024,Lavadoras,Lavadoras,657690,Whirlpool,Whirlpool Secadora 21Kg,"$15,499"
Costco,21-04-2024,Calentadores,,677142,LG,"LG Aire Acondicionado ArtCool Inverter, VR182HW, Frío y Calor, 220V,  1.5 Toneladas, 18,000 BTU/h, WiFi","$17,999"
Costco,21-04-2024,Refrigeradores,Refrigeradores,674599,Whirlpool,Whirlpool Congelador horizontal 15',"$18,499"
